lifetimePos,href,name,oneMoPos,oneYrPos
"1,100",https://www.marketplacepulse.com/amazon/usa/accessorise-your-life,Accessorise Your Life,"2,468","1,066"
"3,508",https://www.marketplacepulse.com/amazon/usa/co2crea,co2CREA,"1,691",886
"11,063",https://www.marketplacepulse.com/amazon/usa/sunshade-king,Sunshade King,"1,873","1,792"
"3,997",https://www.marketplacepulse.com/amazon/usa/everything-essential,Everything Essential,"1,404","1,258"
"13,440",https://www.marketplacepulse.com/amazon/usa/amplim,Amplim,"10,538","4,734"
"11,573",https://www.marketplacepulse.com/amazon/usa/pens-by-lanier,Pens By Lanier,"4,029","5,054"
"9,482",https://www.marketplacepulse.com/amazon/usa/twenty20,Twenty20,"5,599","4,413"
"10,340",https://www.marketplacepulse.com/amazon/usa/houseware-special,Houseware Special,"5,110","4,903"
103,https://www.marketplacepulse.com/amazon/usa/bestdealusa,BestDealUSA,"1,795","3,727"
"22,422",https://www.marketplacepulse.com/amazon/usa/golden-noob,GOLDEN-NOOB,"13,242","4,578"
"7,646",https://www.marketplacepulse.com/amazon/usa/lprs-mall,LPRS MALL,"3,626","4,233"
"20,038",https://www.marketplacepulse.com/amazon/usa/wbo,WBO,"1,040","3,891"
"3,040",https://www.marketplacepulse.com/amazon/usa/express-r-us,Express R Us,"8,441","4,071"
"13,073",https://www.marketplacepulse.com/amazon/usa/timeson,Timeson,"3,313","2,509"
